char_id,gender,race,class,territory,creation_date,class_mastery_date,total_kills,total_deaths
0,M,B,T,9,2017-11-17,2018-09-01,13,8
1,M,D,W,6,2017-09-07,2018-12-23,13,11
2,F,A,R,13,2017-07-03,2018-05-26,9,5
3,F,B,W,9,2017-05-03,2018-07-06,12,9
4,N,C,C,11,2017-04-14,2018-03-02,6,12
5,F,D,A,5,2017-08-16,2018-03-31,13,12
6,F,B,T,2,2017-04-22,2018-04-27,3,16
7,F,B,W,1,2017-07-24,2018-02-23,11,9
8,F,B,R,15,2017-05-29,2018-10-15,4,9
9,M,B,W,10,2017-06-30,2018-05-27,4,11
10,M,C,W,2,2017-07-02,2018-12-05,8,8
11,F,C,C,19,2017-10-11,2018-04-12,9,11
12,F,B,T,16,2017-06-02,2018-11-17,13,16
13,M,D,T,16,2017-08-20,2018-11-10,8,11
14,M,A,T,19,2017-08-19,2018-07-19,8,14
15,F,D,T,6,2017-12-02,2018-02-01,9,12
16,M,C,H,6,2017-05-28,2018-03-11,9,11
17,N,A,R,18,2017-01-10,2018-11-17,11,5
18,M,C,W,1,2017-07-25,2018-07-30,9,17
19,F,B,A,2,2017-12-18,2018-12-20,13,12
20,F,C,W,15,2017-05-06,2018-08-27,9,10
21,F,B,W,11,2017-04-28,2018-02-16,12,14
22,M,B,W,10,2017-11-02,2018-02-02,14,14
23,F,A,W,16,2017-09-20,2018-01-15,8,7
24,M,A,T,18,2017-04-04,2018-10-12,6,11
25,F,B,W,6,2017-07-08,2018-09-28,9,11
26,M,B,W,9,2017-10-21,2018-03-25,10,10
27,F,B,W,13,2017-04-02,2018-08-12,6,15
28,M,B,A,18,2017-04-23,2018-07-07,13,15
29,F,C,R,8,2017-03-06,2018-03-21,11,11
30,F,A,T,15,2017-11-01,2018-05-28,10,10
31,F,A,T,1,2017-02-05,2018-11-15,2,7
32,F,A,C,14,2017-10-10,2018-11-23,10,11
33,M,A,T,15,2017-12-07,2018-03-04,6,7
34,M,B,W,19,2017-05-09,2018-03-24,8,9
35,M,B,H,16,2017-08-02,2018-06-07,10,15
36,F,D,W,14,2017-12-18,2018-07-17,6,9
37,N,D,W,19,2017-12-31,2018-03-08,13,8
38,F,C,R,7,2017-11-14,2018-04-18,10,12
39,M,E,C,10,2017-09-05,2018-10-21,9,5
