sub_id,start_date,end_date
2101892,2017-12-01,2018-01-01
48726,2019-02-01,2019-02-01
2795453,2018-04-01,2018-04-01
107202,2018-09-01,2018-09-01
43394,2018-09-01,2018-09-01
1320721,2018-11-01,2018-12-01
726839,2018-05-01,2018-05-01
2714804,2018-07-01,2018-09-01
2616365,2019-02-01,2019-04-01
280695,2019-03-01,2019-03-01
848457,2018-07-01,2018-09-01
9849,2018-09-01,2018-11-01
1646005,2018-11-01,2019-01-01
1628768,2018-06-01,2018-07-01
1921889,2019-02-01,2019-02-01
2452766,2018-08-01,2018-10-01
1960973,2018-07-01,2018-07-01
1765710,2018-07-01,2018-08-01
111581,2019-03-01,2019-04-01
2676839,2018-07-01,2018-08-01
2456894,2018-06-01,2018-06-01
2623965,2018-07-01,2018-08-01
1967317,2019-01-01,2019-02-01
2084135,2018-05-01,2018-07-01
126156,2018-06-01,2018-07-01
165093,2018-07-01,2018-08-01
796946,2018-09-01,2018-09-01
2348948,2018-12-01,2018-12-01
1122037,2018-05-01,2018-06-01
1316258,2018-05-01,2018-05-01
2889040,2018-04-01,2018-05-01
1711124,2018-06-01,2018-08-01
1967654,2018-03-01,2018-03-01
2068575,2018-04-01,2018-05-01
1242679,2018-08-01,2018-08-01
1823100,2018-08-01,2018-08-01
1739363,2018-07-01,2018-08-01
1531487,2018-12-01,2018-12-01
515057,2018-10-01,2018-12-01
928454,2018-08-01,2018-09-01
2253695,2017-12-01,2018-02-01
2927483,2018-11-01,2018-12-01
704341,2018-09-01,2018-09-01
1518618,2018-03-01,2018-04-01
2194316,2018-04-01,2018-04-01
353257,2018-10-01,2018-11-01
527193,2018-02-01,2018-04-01
1071295,2018-04-01,2018-06-01
2225433,2018-04-01,2018-05-01
1242891,2018-05-01,2018-05-01
1649779,2018-06-01,2018-06-01
32541,2018-09-01,2018-11-01
2423428,2018-05-01,2018-07-01
2022372,2018-08-01,2018-08-01
996158,2018-02-01,2018-02-01
6105,2018-06-01,2018-08-01
1181015,2018-06-01,2018-06-01
48964,2018-10-01,2018-12-01
2461189,2018-07-01,2018-08-01
2893718,2018-07-01,2018-07-01
2156597,2018-06-01,2018-07-01
2394979,2019-02-01,2019-02-01
273050,2018-06-01,2018-06-01
472107,2018-07-01,2018-07-01
1495275,2018-06-01,2018-08-01
2209734,2018-04-01,2018-04-01
1982851,2018-05-01,2018-06-01
1151739,2018-01-01,2018-02-01
1494589,2018-04-01,2018-04-01
423770,2018-06-01,2018-07-01
850908,2018-06-01,2018-07-01
395641,2018-08-01,2018-10-01
726707,2018-02-01,2018-03-01
1710469,2018-05-01,2018-05-01
782496,2018-08-01,2018-09-01
650979,2018-06-01,2018-07-01
2300420,2018-06-01,2018-08-01
2137729,2018-05-01,2018-06-01
2376552,2018-08-01,2018-08-01
553347,2018-05-01,2018-05-01
2895466,2018-04-01,2018-06-01
1486589,2018-02-01,2018-04-01
2293222,2019-02-01,2019-02-01
1218713,2018-04-01,2018-06-01
1334747,2018-08-01,2018-09-01
2435618,2018-08-01,2018-09-01
1789806,2018-09-01,2018-10-01
858933,2018-08-01,2018-10-01
1431504,2018-02-01,2018-03-01
124285,2018-08-01,2018-08-01
2021105,2018-05-01,2018-07-01
1189738,2018-05-01,2018-07-01
2872391,2018-03-01,2018-05-01
1717718,2018-04-01,2018-06-01
1003339,2018-04-01,2018-05-01
10576,2018-03-01,2018-04-01
1797684,2018-06-01,2018-08-01
2399788,2018-06-01,2018-07-01
2937123,2019-02-01,2019-03-01
1830374,2018-02-01,2018-04-01
2146018,2018-04-01,2018-05-01
230636,2018-09-01,2018-10-01
1210085,2018-08-01,2018-10-01
2094325,2018-05-01,2018-05-01
2909487,2018-09-01,2018-11-01
376641,2018-06-01,2018-08-01
623088,2018-10-01,2018-10-01
1091580,2018-07-01,2018-08-01
1213401,2018-06-01,2018-06-01
2823116,2018-04-01,2018-05-01
2008665,2018-07-01,2018-08-01
1803800,2018-04-01,2018-06-01
940785,2018-04-01,2018-05-01
2584590,2019-01-01,2019-02-01
2004351,2018-03-01,2018-03-01
2369935,2018-12-01,2019-01-01
2526881,2018-07-01,2018-07-01
387554,2018-05-01,2018-06-01
1455551,2018-10-01,2018-10-01
1175388,2018-05-01,2018-07-01
1341258,2018-08-01,2018-09-01
1134147,2018-07-01,2018-09-01
302472,2018-06-01,2018-06-01
1587396,2018-08-01,2018-08-01
2702662,2018-07-01,2018-08-01
2587910,2018-07-01,2018-08-01
1588008,2018-01-01,2018-03-01
1376225,2018-07-01,2018-09-01
1404703,2018-07-01,2018-09-01
1620073,2018-09-01,2018-11-01
2674261,2018-08-01,2018-08-01
1937182,2018-06-01,2018-06-01
2451756,2018-09-01,2018-11-01
834472,2018-09-01,2018-10-01
1888837,2018-07-01,2018-07-01
1802557,2018-04-01,2018-06-01
600911,2018-09-01,2018-09-01
2120763,2019-05-01,2019-06-01
1179161,2018-02-01,2018-04-01
106670,2018-05-01,2018-07-01
1432601,2018-06-01,2018-06-01
2572924,2018-07-01,2018-08-01
1002174,2018-04-01,2018-06-01
1219412,2018-05-01,2018-06-01
999005,2018-03-01,2018-04-01
1427679,2018-12-01,2019-02-01
139799,2018-06-01,2018-06-01
2421619,2019-02-01,2019-03-01
821175,2018-05-01,2018-07-01
1122998,2018-07-01,2018-09-01
2460801,2018-08-01,2018-08-01
